Language,Country,Duration,Budget,Gross Earnings,Facebook_Likes_Director,Facebook_Likes_Actor,Facebook_Likes_Music,Facebook_Likes_Actress,Facebook_Likes_Total_Cast,Facenumber_in_posters,User_upvotes,Reviews_by_Users,IMDB_Score
English,USA,123,385907,2300000,204,436,22,9,481,1,10718,88,8
English,USA,110,100000,3000000,0,2,2,0,4,1,5,1,4.8
English,USA,151,245000,3000000,54,81,12,6,108,0,4849,45,8.3
German,Germany,145,6000000,26435,756,136,23,18,203,1,111841,413,8.3
German,Germany,110,6000000,9950,21,426,20,3,455,1,7431,84,8
English,USA,100,379000,2808000,4,77,28,4,109,8,4546,71,6.3
English,USA,96,3950000,2808000,177,431,12,4,457,1,3753,53,7.8
English,USA,79,800000,2500000,57,998,164,99,1284,1,3519,46,6.6
English,USA,89,439000,2300000,24,610,105,45,995,2,7921,97,7.7
English,USA,66,200000,2300000,16,418,85,28,583,1,4152,59,6.5
English,USA,65,325000,2300000,964,380,114,21,540,1,64888,235,8.2
English,USA,81,609000,3000000,10,610,172,23,824,2,13269,98,7.8
English,USA,87,1500000,163245,0,309,8,8,352,1,143086,211,8.6
English,USA,100,1200000,163245,345,843,490,94,1621,3,3418,52,7.1
English,USA,83,2000000,184925485,0,82,47,31,229,1,133348,204,7.7
English,USA,101,2000000,184925485,19,490,185,135,1166,2,3256,44,7.8
English,USA,106,2000000,184925485,85,480,392,300,1833,2,1381,29,7
English,USA,126,1644736,184925485,964,319,302,275,1363,10,17799,133,8
English,USA,226,3977000,198655278,149,503,384,248,1862,1,215340,706,8.2
English,USA,120,1500000,198655278,964,607,319,248,1573,7,77392,245,8.2
English,USA,102,2800000,22202612,149,695,421,357,2509,3,291875,533,8.1
English,USA,119,1614000,22202612,6,1000,760,380,2555,8,2269,34,7.1
English,USA,120,2280000,76400000,11,16,0,380,16,0,71321,230,7.8
English,USA,88,2600000,84300000,3,1000,48,40,1178,0,90360,147,7.5
English,USA,130,1288000,84300000,13000,1000,991,333,2888,2,87424,276,8.2
English,USA,83,1288000,84300000,9,94,62,51,293,1,1047,25,6.5
English,USA,118,1250000,84300000,673,595,176,137,1129,5,15840,124,7.8
English,USA,70,1250000,102797150,11,16,12,8,63,0,94225,136,7.4
English,USA,82,950000,102797150,345,2000,607,269,3442,4,387508,1123,8.6
English,USA,122,2627000,102797150,149,760,675,315,2555,0,1553,27,7
English,USA,101,2361000,102797150,24,675,659,226,1627,2,1079,28,6.5
English,USA,95,1696377,102797150,13000,472,239,82,896,1,32927,161,7.6
English,USA,100,1696377,102797150,9,188,135,37,496,2,2756,55,7.1
English,USA,101,1250000,102797150,0,287,160,66,581,4,24959,136,8
English,USA,119,2160000,102797150,10,509,284,275,1490,0,1314,29,7.5
English,USA,144,8000000,23650000,54,469,436,332,2037,0,6304,87,6.9
English,USA,118,3180000,20400000,964,488,275,248,1844,0,275720,706,8.6
English,USA,172,2100000,23650000,355,749,208,188,1941,5,40359,235,8.1
English,USA,118,2000000,23650000,603,936,297,167,1846,3,10791,113,7.4
English,USA,92,2300000,7927,0,1000,29,18,1055,1,19236,175,7.7
English,USA,95,3209000,23650000,5,197,116,100,538,1,989,23,6.2
English,USA,68,3209000,23650000,2,142,86,75,354,3,67,9,7.1
English,USA,126,3000000,23650000,393,862,376,281,2269,0,21316,162,7.8
English,USA,102,3700000,2956000,136,89,78,48,282,0,3258,54,7.1
English,USA,109,1000000,2956000,23,183,102,88,510,0,7346,69,7.2
English,USA,103,1600000,2956000,673,281,230,89,955,1,11920,90,7.4
English,USA,107,3768785,8000000,24,277,244,83,731,0,3167,90,7
English,USA,152,4000000,36000000,309,232,178,132,825,0,9456,107,6.7
English,USA,118,1650000,36000000,160,862,488,426,2247,5,33987,150,7.8
English,USA,92,1250000,36000000,83,469,79,48,683,0,11047,116,7.1
English,USA,80,210000,5000000,7,57,40,21,205,0,4812,88,6.7
English,USA,135,5000000,36000000,28,726,422,275,1920,1,6359,69,6.8
English,USA,127,5000000,36000000,130,617,53,51,799,0,22123,108,7.2
English,USA,127,5000000,36000000,130,618,53,51,800,0,22124,108,7.2
English,USA,108,910000,9600000,603,10000,416,279,11094,2,100890,281,8.2
Japanese,Japan,202,2000000,269061,0,304,8,4,338,6,229012,596,8.7
English,UK,161,3000000,27200000,767,682,119,87,1035,2,149444,273,8.2
English,USA,108,3000000,27200000,174,253,197,110,649,0,33741,141,8.1
English,USA,141,5000000,27200000,54,746,333,70,1332,2,2017,33,6.2
English,USA,120,2883848,25000000,0,105,103,102,527,2,175196,350,8.3
English,USA,149,3500000,25000000,160,157,139,75,646,0,7071,83,7.6
English,USA,146,3000000,25000000,174,556,422,125,1444,1,7998,81,7.9
English,USA,108,806947,32000000,13000,606,332,285,1885,2,422432,1040,8.5
English,USA,152,6000000,43650000,34,804,271,249,1802,0,71919,316,7.6
English,UK,110,1100000,16067035,92,650,275,177,1421,4,116642,389,7.3
English,UK,227,15000000,6000000,767,607,202,87,1076,8,192775,559,8.4
English,UK,251,31115000,57750000,311,940,726,595,2957,2,21554,192,7
English,USA,109,2686585,57750000,673,756,370,359,1949,1,5786,65,6.9
English,UK,115,2000000,24800000,92,559,201,177,1456,0,89403,358,7.5
English,USA,112,2500000,24800000,58,617,189,124,1141,0,15277,120,7.9
English,USA,197,9400000,46300000,176,924,898,760,4109,0,29323,344,7.6
English,USA,172,4000000,46300000,120,773,742,145,1785,0,165638,301,8.3
English,UK,121,1000000,46300000,62,883,269,69,1371,1,8508,56,6.8
Italian,Italy,99,200000,3500000,0,16000,360,93,16534,1,147566,235,8
English,UK,87,560000,515005,44,785,725,704,2538,1,31429,219,7.7
