Region,Vegetables,Personal_care,Milk,Grocery,Plasticware
Rochester,12667,2674,9656,7561,212
Rochester,7058,3293,9810,9568,1757
Rochester,6346,3516,8808,7684,2408
Rochester,13251,507,1196,4221,6407
Rochester,22620,1777,5410,7198,3908
Rochester,9406,1795,8259,5126,665
Rochester,12111,3149,3179,6975,473
Rochester,7567,3311,4956,9426,1668
Rochester,5960,1717,3648,6192,428
Rochester,6007,7424,11093,18881,1157
Rochester,3371,5976,5403,12974,4398
Rochester,13145,542,1124,4523,1423
Rochester,31708,3891,12319,11757,287
Rochester,21219,6708,6208,14982,3091
Rochester,24644,5048,9465,12091,298
Rochester,10240,954,1104,3821,394
Rochester,1007,4515,8816,12121,129
Rochester,5862,362,6157,2933,843
Rochester,18604,2767,6327,10099,2203
Rochester,7775,2518,2495,9464,674
Rochester,17547,2259,4519,4602,1066
Rochester,5572,375,871,2010,3378
Rochester,31266,2381,1917,4469,9401
Rochester,26375,4337,36423,22019,5158
Rochester,22649,4482,9776,13792,2916
Rochester,16169,4003,4230,7595,203
Rochester,9898,242,961,2861,3150
Rochester,14276,100,803,3045,479
Rochester,4113,8604,20484,25957,1158
Rochester,43088,1107,2100,2609,1205
Rochester,22620,1777,5410,7198,3908
Rochester,18815,2134,3610,11107,1141
Rochester,2612,820,4339,3133,2093
Rochester,21632,918,1318,2886,262
Rochester,29729,361,4786,7326,6126
Rochester,1502,483,1979,2262,421
Rochester,688,4239,5491,11091,829
Rochester,29955,862,4362,5428,1733
Rochester,15168,6506,10556,12477,1916
Rochester,4591,6956,15729,16709,38
Rochester,56159,212,555,902,10000
Rochester,24025,1145,4332,4757,9506
Rochester,19176,2575,3065,5956,2032
Rochester,10850,6899,7555,14961,191
Rochester,630,9529,11095,23998,781
Rochester,9670,4618,7027,10471,542
Rochester,5181,7353,22044,21531,1739
Rochester,3103,6792,14069,21955,1670
Rochester,44466,24171,54259,55571,7775
Rochester,11519,5121,6152,10868,583
Rochester,4967,13583,21412,28921,1801
Rochester,6269,609,1095,1980,3862
Rochester,3347,1538,4051,6996,244
Rochester,40721,2587,3916,5876,531
Rochester,491,5611,10473,11532,737
Rochester,27329,204,1449,1947,2436
Rochester,5264,2024,3683,5005,1062
Rochester,4098,17740,29892,26866,2609
Rochester,5417,7572,9933,10487,38
Rochester,13779,227,1970,1648,595
Rochester,6137,3084,5360,8040,123
Rochester,8590,4095,3045,7854,100
Rochester,35942,26701,38369,59598,3255
Rochester,7823,4074,6245,6544,4156
Rochester,9396,7677,11601,15775,2901
Rochester,4760,1247,1227,3250,3722
Rochester,85,24231,20959,45828,35
Rochester,9,3468,34,7,173
Rochester,19913,5141,6759,13462,1254
Rochester,2446,788,7260,3993,5875
Rochester,8352,656,2820,1293,777
Rochester,16705,116,2037,3202,10638
Rochester,18291,4173,1266,21042,5368
Rochester,4420,1321,5139,2661,8871
Rochester,19899,764,5332,8713,8131
Rochester,8190,1901,6343,9794,1282
Rochester,20398,3,1137,53,3
Rochester,717,529,3587,6532,7529
Rochester,12205,12034,12697,28540,868
Rochester,10766,301,1175,2067,2093
Rochester,1640,1202,3259,3655,866
Rochester,7005,610,829,3009,432
Rochester,219,7818,9540,14403,280
Rochester,10362,3537,9232,11009,733
Rochester,20874,550,1563,1783,2324
Rochester,11867,3837,3327,4814,1175
Rochester,16117,40827,46197,92780,1031
Rochester,22925,20070,73498,32114,992
Rochester,43265,1579,5025,8117,6305
Rochester,7864,165,542,4042,9731
Rochester,24904,454,3836,5330,3438
Rochester,11405,69,596,1638,3349
Rochester,12754,627,2762,2530,8688
Rochester,9198,18906,27472,32034,3232
Rochester,11314,71,3090,2062,35010
Rochester,5626,5038,12220,11323,210
Rochester,3,223,20,52,445
Rochester,23,3874,2616,8118,148
Rochester,403,54,254,610,770
Rochester,503,56,112,778,898
Rochester,9658,215,2182,1909,5637
Rochester,11594,8035,7779,12144,3245
Rochester,1420,6766,10810,16267,1597
Rochester,2932,4573,6459,7677,2561
Rochester,56082,1480,3504,8906,18032
Rochester,14100,1491,2132,3445,1329
Rochester,15587,139,1014,3970,914
Rochester,1454,6830,6337,10704,127
Rochester,8797,8969,10646,14886,2474
Rochester,1531,2505,8397,6981,251
Rochester,1406,836,16729,28986,671
Rochester,11818,169,1648,1694,2272
Rochester,12579,6457,11114,17569,810
Rochester,19046,483,2770,2469,8858
Rochester,18044,118,1080,2000,2559
Rochester,11134,276,793,2988,2717
Rochester,11173,310,2521,3355,1512
Rochester,6990,319,3880,5380,1643
Rochester,20049,411,1891,2362,5340
Rochester,8258,266,2344,2147,3889
Rochester,17160,174,1200,3412,2416
Rochester,4020,264,3234,1498,2390
Rochester,12212,25,201,245,1984
Rochester,11170,1976,10769,10814,2188
Rochester,36050,500,1642,2961,4781
Rochester,76237,778,3473,7102,16541
Rochester,19219,349,1840,1658,8193
Rochester,21465,2386,7243,10685,875
Rochester,140,1062,8847,3823,140
Rochester,42312,410,926,1510,1723
Rochester,7149,395,2428,699,6313
Rochester,2101,70,589,314,344
Rochester,14903,955,2032,2479,573
Rochester,9434,256,1042,1235,436
Rochester,7388,47,1882,2174,725
Rochester,6300,199,1289,2591,1163
Rochester,4625,2447,8579,7030,4568
Rochester,3087,721,8080,8282,654
Rochester,13537,249,4257,5034,156
Rochester,5387,637,4979,3343,822
Rochester,17623,960,4280,7305,2281
Rochester,30379,51,13252,5189,315
Rochester,37036,20,7152,8253,2998
Rochester,10405,399,1596,1096,8422
Rochester,18827,516,3677,1988,123
Rochester,22039,12591,8384,34792,47
Rochester,7769,73,1936,2177,930
Rochester,9203,1082,3373,2707,1287
Rochester,5924,283,584,542,4051
Rochester,31812,113,1433,1651,802
Rochester,16225,170,1825,1765,846
Rochester,1289,255,3328,2022,533
Rochester,18840,352,1371,3135,2999
Rochester,3463,302,9250,2368,778
Rochester,622,7,55,137,6
Rochester,1989,11577,10690,19460,226
Rochester,3830,6694,5291,14855,317
Rochester,17773,811,1366,2474,3374
Rochester,2861,4004,6570,9618,933
Rochester,355,8077,7704,14682,398
Rochester,1725,4424,3651,12822,829
Rochester,12434,3,540,283,9
Rochester,15177,232,2024,3810,2661
Rochester,5531,13726,15726,26870,2365
Rochester,5224,3674,7603,8584,2537
Rochester,15615,7108,12653,19858,4427
Rochester,4822,4973,6721,9170,997
Rochester,2926,1680,3195,3268,401
Rochester,5809,79,735,803,1387
Rochester,5414,69,717,2155,2400
Rochester,260,7015,8675,13430,1114
Rochester,200,8773,25862,19816,647
Rochester,955,2840,5479,6536,330
Rochester,514,9836,7677,19805,934
Rochester,286,153,1208,5241,2509
Rochester,2343,4196,7845,11874,52
Rochester,45640,1532,6958,6536,7370
Rochester,12759,20,7330,4533,1749
Rochester,11002,120,7075,4945,1156
Rochester,3157,273,4888,2500,4481
Rochester,12356,1382,6036,8887,407
Rochester,112151,4948,29627,18148,16746
Rochester,694,6907,8533,10518,440
Rochester,36847,239,43950,20170,36538
Rochester,327,334,918,4710,67
